Date,Open,High,Low,Close,Volume
2020-01-02,152.79112243652344,152.8957614430933,150.61274704618017,151.04081043121997,22622100
2020-01-03,150.8885955810547,152.1537709346399,150.3558932248189,150.6032296866788,21116200
2020-01-06,151.2786102294922,151.34520527945125,148.88143518681778,149.4236593991698,20813700
2020-01-07,149.89930725097656,151.8874339140462,149.65198528111424,151.55450216789137,21634100
2020-01-08,152.28695678710938,152.96235665110237,150.2512643514122,151.18349353765257,27746500
2020-01-09,154.18948364257812,154.31315188987753,153.18115197551302,153.95166902241928,21385000
2020-01-10,153.47604370117188,155.26441433524994,153.323838856771,154.88391673930064,20725900
2020-01-13,155.3214874267578,155.35002402068366,153.39994118378453,153.87557043595248,21626500
2020-01-14,154.22750854492188,155.62585936832997,153.83748916913066,155.4260887442505,23477400
2020-01-15,155.2263641357422,155.94932992763327,154.6461103512771,154.69366166701423,21417900
2020-01-16,158.07061767578125,158.13721273567788,156.03492513756743,156.33933481414817,23865400
2020-01-17,158.95529174804688,159.30725272739872,157.36667737382461,159.2596869022034,34371700
2020-01-21,158.38453674316406,159.99216589497755,158.31794168241322,158.5557563021477,29517200
2020-01-22,157.62350463867188,159.3262652022215,157.6044754075849,159.24064091985528,24138800
2020-01-23,158.5937957763672,158.66989818737443,157.2144740501068,158.08963000411373,19680800
2020-01-24,156.9956512451172,159.36428945346628,156.43441237534347,159.34526022473113,24918100
2020-01-27,154.37022399902344,155.41661412644106,152.39160463130347,153.2952972785901,32078100
2020-01-28,157.39523315429688,157.68059908383785,155.12172598695543,155.79711137360556,24899900
2020-01-29,159.8494110107422,160.5248106748691,157.61396309703903,159.65916228628512,34754500
2020-01-30,164.3583984375,165.56650047306658,162.46538930421445,165.56650047306658,51597500
2020-01-31,161.93272399902344,163.99695312073845,161.3144118044504,163.81622620551641,36142700
2020-02-03,165.8804168701172,165.99456321433146,162.09439861645657,162.12293520251015,30107000
2020-02-04,171.3406524658203,171.83531088100904,167.7163604089728,168.50590659560362,36433300
2020-02-05,171.1313934326172,175.22180776823546,169.71402759792846,175.06009556968283,39186300
2020-02-06,174.67959594726562,174.8603373773768,171.2835962721511,172.14924495581388,27751400
2020-02-07,174.92686462402344,176.5820590683,173.58558711823284,173.9375625120159,33529100
2020-02-10,179.50247192382812,179.63564753016698,174.31811612092304,174.63203316051872,35844300
2020-02-11,175.4501190185547,181.40499196770674,174.55593371146628,181.35742613997917,53159900
2020-02-12,175.7069549560547,176.7913890101186,172.98635520427305,176.53454516400944,47062900
2020-02-13,174.75570678710938,177.15286777500202,173.9566386094256,174.15640928260976,35295800
